Aergo Capital,aergocapital.com,200,111,200,84231,crystal.ie;webmail.crystal.ie;www.crystal.ie;mail.crystal.ie;webdisk.crystal.ie;crystal.ie;cpanel.crystal.ie;,774165617792e3ea819a57a33839e74df69fdeaf007a55fa881c930e36b8f5fe,True,False,2048,49199,True,200,156670,www.aergogroup.com;aergocapital.com;aergogroup.com;aergocapital.com;mail.aergocapital.com;cpanel.aergocapital.com;webdisk.aergocapital.com;mail.aergogroup.com;www.aergocapital.com;webmail.aergocapital.com;,5ee8317aea52b7bd348972e5bb55beb86111baaf4553e0fe15372fe9ddabd5e0,True,False,2048,49199,True
Aero Inspection,aii.ie,200,1853,200,1853,odin.com;,f1a6fec3b5e2304e247b41766066f81a6c4bae7c4d32c7831cb6329d9a4ef74d,True,True,1024,53,False,200,1853,odin.com;,f1a6fec3b5e2304e247b41766066f81a6c4bae7c4d32c7831cb6329d9a4ef74d,True,True,1024,53,False
Airbus,airbus.com,404,245,999,73,,,-1,-1,-1,-1,-1,999,65,,,-1,-1,-1,-1,-1
Aircastle Ireland,aircastle.com,404,1557,999,63,,,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1
Aircraft Leasing Ireland,aircraftleasingireland.ie,-1,-1,999,34,,,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1
Apollo Aviation Group,apollo.aero,200,163,200,163,apollo.holodyn.net;apollo.holodyn.net;www.apollo.holodyn.net;,cb35103ba13c609a0e3eb536f1eb41212f4e814ea90bb114d5ebde54ee42e155,False,False,4096,49199,False,301,229,www.carlyle.aero;www.apollo.aero;carlyle.aero;apollo.aero;carlyle.aero;cpanel.carlyle.aero;autodiscover.carlyle.aero;mail.carlyle.aero;mail.apollo.aero;webmail.carlyle.aero;webdisk.carlyle.aero;,65fee3d4f1008c05f269b445459783f9cb92dc609ce2714a3db0b97508f6da2f,True,False,2048,49199,True
Arup,arup.com,999,111,999,114,,,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1
ASL Airlines Ireland,aslairlines.ie,200,1853,200,1853,odin.com;,f1a6fec3b5e2304e247b41766066f81a6c4bae7c4d32c7831cb6329d9a4ef74d,True,True,1024,47,False,200,4148,odin.com;,f1a6fec3b5e2304e247b41766066f81a6c4bae7c4d32c7831cb6329d9a4ef74d,True,True,1024,47,False
Atlantic Air Adventures,atlanticairadventures.com,200,1853,200,1853,odin.com;,f1a6fec3b5e2304e247b41766066f81a6c4bae7c4d32c7831cb6329d9a4ef74d,True,True,1024,47,False,200,107824,www.atlanticairadventures.com;atlanticairadventures.com;atlanticairadventures.com;,a03e38c1ee448756f24461053c8ff78ea0e8cb7a4771f6bcd5dee6611fe27116,True,False,2048,47,True
Atlantic Aviation Group,atlanticaviation.ie,200,487,999,71,,,-1,-1,-1,-1,-1,999,73,,,-1,-1,-1,-1,-1
